Name,Rechtsform,Land,PLZ,Ort,Straße,HR Amtsgericht,Register-ID,Status,North Data URL,Tel.,Fax,E-Mail,Website,USt.-Id.,Eintragung,Eintragung Datum,Branche (WZ),Ges. Vertreter 1,Ges. Vertreter 2,Ges. Vertreter 3,Gegenstand,Tickers,Finanzkennzahlen Datum,Stamm-/Grundkapital EUR,Bilanzsumme EUR,Gewinn EUR,Gewinn CAGR %,Umsatz EUR,Umsatz CAGR %,Umsatzrendite %,Eigenkapital EUR,EK-Quote %,EK-Rendite %,Mitarbeiterzahl,Umsatz pro Mitarbeiter EUR,Steuern EUR,Steuer-Quote %,Kassenbestand EUR,Forderungen EUR,Verbindlichkeiten EUR,Materialaufwand EUR,Personalaufwand EUR,Personalaufwand pro Mitarbeiter EUR,Pensionsrückstellungen EUR,Immobilien und Grundstücke EUR,Mktg&Tech Bezugszeitraum,Anzahl Förderungen pro Jahr,Gesamtfördersumme pro Jahr EUR,Patente pro Jahr,Marken pro Jahr
CS Immobilien I Homestaging e. K.,e. K.,DE,88090.0,Immenstaad a. Bodensee,Seestr. West 2,Ulm,HRA 631165,aktiv,"https://www.northdata.de/CS%20Immobilien%20I%20Homestaging%20e%C2%B7%20K%C2%B7,%20Immenstaad%20a%C2%B7%20Bodensee/Amtsgericht%20Ulm%20HRA%20631165",+49 75453853,+49 75453855,info@c-s-immobilien.com,https://www.cs-immobilien-homestaging.de,DE196459050,Eintragung,02.01.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schäfle-Schlabschi, Christine Karla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anlagen-Kontor/Wolfgang Tresnak Immobilienvermittlung e. K.,e. K.,DE,47803.0,Krefeld,Breiten Dyk 44,Krefeld,HRA 4216,aktiv,"https://www.northdata.de/Anlagen-Kontor%2FWolfgang%20Tresnak%20Immobilienvermittlung%20e%C2%B7%20K%C2%B7,%20Krefeld/HRA%204216",+49 2151624194,+49 2151624193,wt-ak@t-online.de,,,Eintragung,10.01.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Tresnak, Wolfgang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italica e. K.,e. K.,DE,94060.0,Pocking,Schömerweg 14,Passau,HRA 12537,aktiv,"https://www.northdata.de/Italica%20e%C2%B7%20K%C2%B7,%20Pocking/Amtsgericht%20Passau%20HRA%2012537",+49 85382659988,+49 8219998501223,info@italica.de,https://de.italicarentals.com,,Eintragung,23.01.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Fridrich, Lenka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plana-Immobilien e. K.,e. K.,DE,82166.0,Gräfelfing,Schulstr. 68,München,HRA 81475,aktiv,"https://www.northdata.de/Plana-Immobilien%20e%C2%B7%20K%C2%B7,%20Gr%C3%A4felfing/Amtsgericht%20M%C3%BCnchen%20HRA%2081475",+49 8989669049,+49 8989669027,office@plana-immobilien.de,https://www.plana-immobilien.de,DE229123560,Eintragung,27.01.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Schmid, Michael",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.S. Immobilien OHG Nachf. Karin Brückner e. K.,e. K.,DE,15712.0,Königs Wusterhausen,Siegfriedstr. 9,Cottbus,HRA 3789,aktiv,"https://www.northdata.de/A%C2%B7S%C2%B7%20Immobilien%20OHG%20Nachf%C2%B7%20Karin%20Br%C3%BCckner%20e%C2%B7%20K%C2%B7,%20K%C3%B6nigs%20Wusterhausen/Amtsgericht%20Cottbus%20HRA%203789",+49 3075659091,+49 3075659095,info@as-immobilien-ohg.de,https://www.as-immobilien-ohg.de,,Eintragung,11.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Brückner, Karin",,,"Unternehmensgegenstand: Vermittlung des Abschlusses und der Nachweis der Gelegenheit zum Abschluß von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnraum und Darlehen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JATEC OHG,OHG,DE,1454.0,Radeberg,Carl-Eschebach-Str. 18,Dresden,HRA 5043,erloschen,"https://www.northdata.de/JATEC%20OHG,%20Radeberg/Amtsgericht%20Dresden%20HRA%205043",,,,,,Eintragung,09.01.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",Kerstin Tiegel Verwaltungs UG,"Tiegel, Uwe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winkler Immobilien Verwaltung OHG,OHG,DE,38116.0,Braunschweig,Saarbrückener Str. 251,Braunschweig,HRA 14100,erloschen,"https://www.northdata.de/Winkler%20Immobilien%20Verwaltung%20OHG,%20Braunschweig/HRA%2014100",,,,,,Eintragung,15.01.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalter Immobilienberatung e. K.,e. K.,DE,85622.0,Feldkirchen,Bodmerstr. 40,München,HRA 81431,erloschen,"https://www.northdata.de/Kalter%20Immobilienberatung%20e%C2%B7%20K%C2%B7,%20Feldkirchen/Amtsgericht%20M%C3%BCnchen%20HRA%2081431",,,,,,Eintragung,20.01.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Kalter, Manfred Michael Ludwig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRA-PLAN-MEINZER Immobilien-Generalübernehmer-Bauträger e. K.,e. K.,DE,94032.0,Passau,Am Schanzl 10,Passau,HRA 11458,erloschen,"https://www.northdata.de/TERRA-PLAN-MEINZER%20Immobilien-General%C3%BCbernehmer-Bautr%C3%A4ger%20e%C2%B7%20K%C2%B7,%20Passau/HRA%2011458",,,,,,Eintragung,03.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Meinzer, Gerd Emil",,,"Generalübernehmer, Baubetreuung, Bauträger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS Immobilien e. K.,e. K.,DE,83646.0,Bad Tölz,Am Lettenholz 25,München,HRA 81540,erloschen,"https://www.northdata.de/AS%20Immobilien%20e%C2%B7%20K%C2%B7,%20Bad%20T%C3%B6lz/Amtsgericht%20M%C3%BCnchen%20HRA%2081540",,,,,,Eintragung,05.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Adlwarth, Siegfried Georg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahlke Immobilien e. K.,e. K.,DE,10719.0,Berlin,Kurfürstendamm 213,Charlottenburg (Berlin),HRA 33971 B,aktiv,"https://www.northdata.de/Mahlke%20Immobilien%20e%C2%B7%20K%C2%B7,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRA%2033971%20B",+49 3054790079,+49 3054790077,info@mahlke-immo.de,https://www.abstellbox.de,DE252943172,Eintragung,18.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Mahlke, Marcus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optiinvestition e. K.,e. K.,DE,10247.0,Berlin,Eldenaerstr. 7,Charlottenburg (Berlin),HRA 33962 B,aktiv,"https://www.northdata.de/Optiinvestition%20e%C2%B7%20K%C2%B7,%20Berlin/Amtsgericht%20Charlottenburg%20(Berlin)%20HRA%2033962%20B",+49 3035106616,+49 3035106617,goile@opti-invest.de,,,Eintragung,18.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Goile, Harald-Fritz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLASSIK IMMOBILIEN e. K.,e. K.,DE,14476.0,Potsdam,Seeburger Chaussee 2,Potsdam,HRA 3256,aktiv,"https://www.northdata.de/KLASSIK%20IMMOBILIEN%20e%C2%B7%20K%C2%B7,%20Potsdam/HRA%203256",+49 33201430286,+49 3320120149,info@klassik-immobilien.de,https://klassik-immobilien.jimdofree.com,,Eintragung,21.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Winzler, Petra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kramer-Heuser-Karthaus Immobilien-OHG,OHG,DE,42855.0,Remscheid,Hastener Str. 27,Wuppertal,HRA 18618,aktiv,"https://www.northdata.de/Kramer-Heuser-Karthaus%20Immobilien-OHG,%20Remscheid/Amtsgericht%20Wuppertal%20HRA%2018618",+49 219188640,+49 2191840580,,,,Eintragung,24.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Heuser, Harald","Karthaus, Bernd","Kramer, Delia-Ines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michael Hartmann e. K. - Hausverwaltungen, Immobilien",e. K.,DE,45525.0,Hattingen,Hufeisenstr. 8,Essen,HRA 7952,aktiv,"https://www.northdata.de/Michael%20Hartmann%20e%C2%B7%20K%C2%B7%20-%20Hausverwaltungen,%20Immobilien,%20Hattingen/Amtsgericht%20Essen%20HRA%207952",+49 23249677010,+49 232426326,info@hartmann-immobilien.de,https://www.hartmann-immobilien.de,DE125324601,Eintragung,28.02.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Hartmann, Michael Wolfram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geiberger Immobilien e. K.,e. K.,DE,65203.0,Wiesbaden,Rheingaustr. 99 b,Wiesbaden,HRA 5167,aktiv,"https://www.northdata.de/Geiberger%20Immobilien%20e%C2%B7%20K%C2%B7,%20Wiesbaden/HRA%205167",+49 6115650505,+49 6115650517,info@geiberger-immobilien.de,https://www.geiberger-immobilien.de,,Eintragung,07.03.2003,"68.31.1 Vermittlung von Wohngrundstücken, Wohngebäuden und Wohnungen für Dritte","Geiberger, Enrico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
